pcap_file,packet_index,ts,ts_iso,frame_len,src_ip,dst_ip,src_port,dst_port,protocol,geoip_src_country,geoip_src_asn,geoip_dst_country,geoip_dst_asn,is_dns,is_http,is_tls,tls_sni,tls_cert_issuer,tls_cert_fingerprint,tls_cached_info,tcp_flags,dns_qname,dns_qtype,dns_resp_code,dns_a_record,dns_a_ttl,dns_qname_length,dns_qname_entropy,enrich_vt,enrich_whois
demo.pcapng,131,1762971078.486217,2025-11-12T18:11:18.486217,440,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,132,1762971078.486217,2025-11-12T18:11:18.486217,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,133,1762971078.486217,2025-11-12T18:11:18.486217,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,134,1762971078.486217,2025-11-12T18:11:18.486217,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,135,1762971078.486217,2025-11-12T18:11:18.486217,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,136,1762971078.486217,2025-11-12T18:11:18.486217,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,137,1762971078.486217,2025-11-12T18:11:18.486217,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,138,1762971078.486379,2025-11-12T18:11:18.486379,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,139,1762971078.488948,2025-11-12T18:11:18.488948,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,140,1762971078.488948,2025-11-12T18:11:18.488948,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,141,1762971078.488948,2025-11-12T18:11:18.488948,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,142,1762971078.488948,2025-11-12T18:11:18.488948,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,143,1762971078.488948,2025-11-12T18:11:18.488948,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,144,1762971078.488948,2025-11-12T18:11:18.488948,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,145,1762971078.488948,2025-11-12T18:11:18.488948,930,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,146,1762971078.489102,2025-11-12T18:11:18.489102,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,147,1762971078.490867,2025-11-12T18:11:18.490867,113,,,52958,443,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,148,1762971078.492041,2025-11-12T18:11:18.492041,971,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,149,1762971078.492041,2025-11-12T18:11:18.492041,462,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,150,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,151,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,152,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,153,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,154,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,155,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,156,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,157,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,158,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,159,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,160,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,161,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,162,1762971078.492041,2025-11-12T18:11:18.492041,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,163,1762971078.492338,2025-11-12T18:11:18.492338,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,164,1762971078.493941,2025-11-12T18:11:18.493941,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,165,1762971078.493941,2025-11-12T18:11:18.493941,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,166,1762971078.494025,2025-11-12T18:11:18.494025,74,,,52958,443,TCP,,,,,0,0,0,,,,,0x0010,,,,,,,,,
demo.pcapng,167,1762971078.494817,2025-11-12T18:11:18.494817,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0018,,,,,,,,,
demo.pcapng,168,1762971078.494817,2025-11-12T18:11:18.494817,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
demo.pcapng,169,1762971078.494817,2025-11-12T18:11:18.494817,1294,,,443,52958,TCP,,,,,0,0,1,,,,{},0x0010,,,,,,,,,
